ID,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,gmm_n3,gmm_n4,gmm_n5,gmm_n6,recommended_method,recommended_solution,recommended_cluster,recommended_max_assignment_probability
7798,1,0,2,4,1,1,3,1,kmeans,kmeans_k3,1,1.0
92,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
7055,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
10240,1,0,2,0,1,2,1,0,kmeans,kmeans_k3,1,1.0
3025,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
9283,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
9970,2,1,0,2,2,1,3,3,kmeans,kmeans_k3,2,1.0
2730,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
2795,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
9260,1,0,2,0,1,2,1,5,kmeans,kmeans_k3,1,1.0
8182,2,2,3,4,2,1,0,1,kmeans,kmeans_k3,2,1.0
10095,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8475,0,1,0,2,0,3,3,5,kmeans,kmeans_k3,0,1.0
4370,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
10573,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
3712,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
6637,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
3152,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
5610,2,2,3,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
6460,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
1349,1,2,3,4,2,1,2,1,kmeans,kmeans_k3,1,1.0
1880,1,2,3,3,2,1,2,4,kmeans,kmeans_k3,1,1.0
641,1,0,2,4,2,0,2,3,kmeans,kmeans_k3,1,1.0
8717,0,0,2,0,1,2,3,5,kmeans,kmeans_k3,0,1.0
10314,0,1,0,0,1,2,1,0,kmeans,kmeans_k3,0,1.0
10854,1,2,3,3,2,0,0,4,kmeans,kmeans_k3,1,1.0
10492,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
6935,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
7698,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
3559,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
10562,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
10796,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
2563,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
3518,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
5823,1,2,3,3,2,0,0,4,kmeans,kmeans_k3,1,1.0
3934,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
6982,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
6431,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
9733,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
5602,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
1324,2,3,1,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
326,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
7224,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
6999,0,0,2,0,1,1,1,0,kmeans,kmeans_k3,0,1.0
9938,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
6422,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
3182,1,0,2,4,2,1,2,1,kmeans,kmeans_k3,1,1.0
7300,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
10424,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8727,0,0,2,0,1,1,3,1,kmeans,kmeans_k3,0,1.0
2798,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
1030,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
624,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
5176,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
5552,1,0,2,4,2,1,3,1,kmeans,kmeans_k3,1,1.0
868,1,2,3,3,2,0,0,4,kmeans,kmeans_k3,1,1.0
380,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
2677,2,3,1,4,2,1,3,5,kmeans,kmeans_k3,2,1.0
6521,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
6927,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
2877,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
0,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
1584,1,0,2,4,1,1,2,1,kmeans,kmeans_k3,1,1.0
7264,1,2,3,3,2,0,0,2,kmeans,kmeans_k3,1,1.0
6274,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
1377,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
454,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
1755,2,3,1,1,2,1,0,3,kmeans,kmeans_k3,2,1.0
2075,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
4785,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
9076,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
7079,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
4653,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
7375,1,0,2,4,1,1,2,1,kmeans,kmeans_k3,1,1.0
709,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
460,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
3726,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
6798,1,0,2,4,1,1,2,1,kmeans,kmeans_k3,1,1.0
5341,1,0,2,0,1,2,3,5,kmeans,kmeans_k3,1,1.0
1606,2,3,1,1,2,0,0,2,kmeans,kmeans_k3,2,1.0
9617,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
3233,0,1,0,2,1,2,3,1,kmeans,kmeans_k3,0,1.0
89,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
2936,2,2,3,3,2,0,0,4,kmeans,kmeans_k3,2,1.0
9449,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
7297,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
313,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
9940,0,1,0,2,1,2,3,5,kmeans,kmeans_k3,0,1.0
10735,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
9529,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
6439,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
7411,2,2,3,3,2,0,0,4,kmeans,kmeans_k3,2,1.0
2176,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
9265,1,0,2,0,1,2,3,5,kmeans,kmeans_k3,1,1.0
8867,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8932,1,0,2,0,1,2,3,5,kmeans,kmeans_k3,1,1.0
10236,2,2,3,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
6340,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
10089,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
2227,2,3,1,1,2,1,3,3,kmeans,kmeans_k3,2,1.0
10992,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
5304,1,2,3,3,2,0,0,4,kmeans,kmeans_k3,1,1.0
309,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
3406,0,1,0,2,1,1,3,1,kmeans,kmeans_k3,0,1.0
2661,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
3153,1,2,3,3,2,0,0,2,kmeans,kmeans_k3,1,1.0
10264,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
1184,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
4200,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
9396,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
2387,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
6690,1,2,3,4,2,0,2,3,kmeans,kmeans_k3,1,1.0
1225,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
9703,1,0,2,4,2,1,2,1,kmeans,kmeans_k3,1,1.0
291,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
4557,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
2379,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
5726,2,3,3,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
3066,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
6336,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
10967,2,2,3,3,2,1,0,3,kmeans,kmeans_k3,2,1.0
2304,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
3445,0,1,0,2,1,1,1,5,kmeans,kmeans_k3,0,1.0
7828,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
3762,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
4391,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
4669,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
10144,1,0,2,4,1,1,2,1,kmeans,kmeans_k3,1,1.0
8652,2,3,1,1,2,3,3,5,kmeans,kmeans_k3,2,1.0
1672,0,1,0,2,1,1,3,1,kmeans,kmeans_k3,0,1.0
8962,1,2,3,3,2,0,0,4,kmeans,kmeans_k3,1,1.0
9974,2,3,1,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
10983,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8148,1,0,2,4,1,1,3,5,kmeans,kmeans_k3,1,1.0
10102,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
4697,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
9262,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
7254,2,2,3,4,2,1,0,1,kmeans,kmeans_k3,2,1.0
4543,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
4927,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
10451,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
2926,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
2874,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
9738,1,2,3,4,2,1,0,1,kmeans,kmeans_k3,1,1.0
7119,0,1,0,2,1,2,1,5,kmeans,kmeans_k3,0,1.0
3924,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
5827,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
5596,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
10812,1,2,3,3,2,1,0,3,kmeans,kmeans_k3,1,1.0
1717,2,0,2,4,2,1,3,1,kmeans,kmeans_k3,2,1.0
9491,2,3,1,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
9274,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
6609,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
6963,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
4440,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
1379,1,0,2,0,2,1,3,1,kmeans,kmeans_k3,1,1.0
10032,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
2826,1,2,3,3,2,0,0,3,kmeans,kmeans_k3,1,1.0
6320,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
3050,1,0,2,0,2,1,2,1,kmeans,kmeans_k3,1,1.0
231,1,2,3,3,2,0,0,4,kmeans,kmeans_k3,1,1.0
2392,1,2,3,4,2,0,0,3,kmeans,kmeans_k3,1,1.0
9478,0,1,0,2,1,1,3,5,kmeans,kmeans_k3,0,1.0
113,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
1802,0,1,0,2,1,1,3,1,kmeans,kmeans_k3,0,1.0
520,2,3,1,1,2,0,0,2,kmeans,kmeans_k3,2,1.0
8275,1,2,3,3,2,0,0,2,kmeans,kmeans_k3,1,1.0
9750,1,0,2,0,1,2,3,5,kmeans,kmeans_k3,1,1.0
2607,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
7214,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
5835,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
3896,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
10350,1,2,3,3,2,0,0,4,kmeans,kmeans_k3,1,1.0
7786,2,2,3,4,2,1,2,1,kmeans,kmeans_k3,2,1.0
2861,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
663,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
10675,1,0,2,0,1,2,3,5,kmeans,kmeans_k3,1,1.0
2521,2,2,3,4,2,0,0,3,kmeans,kmeans_k3,2,1.0
9592,2,2,3,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
10151,0,1,0,2,1,1,3,1,kmeans,kmeans_k3,0,1.0
7381,0,0,2,0,1,2,1,0,kmeans,kmeans_k3,0,1.0
4099,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
9560,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
10172,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
11191,2,3,1,1,2,1,0,3,kmeans,kmeans_k3,2,1.0
9707,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
6245,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
8234,2,3,1,1,2,0,0,2,kmeans,kmeans_k3,2,1.0
1411,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8553,1,2,3,3,2,0,0,4,kmeans,kmeans_k3,1,1.0
1826,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
8842,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
11030,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
2579,0,1,0,2,1,1,3,1,kmeans,kmeans_k3,0,1.0
175,0,1,0,2,1,2,3,5,kmeans,kmeans_k3,0,1.0
9185,0,1,0,2,1,2,3,5,kmeans,kmeans_k3,0,1.0
11056,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
9365,1,0,2,0,1,2,3,5,kmeans,kmeans_k3,1,1.0
6201,2,2,3,3,2,0,0,3,kmeans,kmeans_k3,2,1.0
2061,1,2,3,3,2,1,2,1,kmeans,kmeans_k3,1,1.0
6184,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
6142,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
4107,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
7274,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
9336,1,0,2,0,1,1,2,1,kmeans,kmeans_k3,1,1.0
2958,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
933,2,2,3,3,2,0,0,2,kmeans,kmeans_k3,2,1.0
5837,1,0,2,4,1,1,2,1,kmeans,kmeans_k3,1,1.0
10704,1,0,2,0,1,1,3,1,kmeans,kmeans_k3,1,1.0
5125,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
4432,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
5955,0,1,0,2,1,2,1,0,kmeans,kmeans_k3,0,1.0
2928,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
5680,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
10313,1,0,2,4,2,1,2,1,kmeans,kmeans_k3,1,1.0
2557,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
1245,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
1519,1,2,3,4,2,0,0,3,kmeans,kmeans_k3,1,1.0
10703,1,0,2,4,2,0,2,3,kmeans,kmeans_k3,1,1.0
1726,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
4459,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
1729,1,0,2,0,1,2,2,5,kmeans,kmeans_k3,1,1.0
1517,2,3,1,1,2,0,0,3,kmeans,kmeans_k3,2,1.0
